direction,generalized_eigenvalue,cumulative_discriminative_mass,signal_fraction_lambda_over_one_plus_lambda
361,1.1939250479809852e-15,1.0,1.1939250479809838e-15
362,1.1870651016775248e-15,1.0,1.1870651016775234e-15
363,1.1720674316118542e-15,1.0,1.1720674316118529e-15
364,1.1616001561524666e-15,1.0,1.1616001561524652e-15
365,1.1454502721087738e-15,1.0,1.1454502721087726e-15
366,1.1435493667403642e-15,1.0,1.143549366740363e-15
367,1.1370038981313323e-15,1.0,1.1370038981313311e-15
368,1.1201121436762265e-15,1.0,1.1201121436762253e-15
369,1.1100599402056398e-15,1.0,1.1100599402056386e-15
370,1.1078981702308608e-15,1.0,1.1078981702308596e-15
371,1.0880982292420964e-15,1.0,1.0880982292420952e-15
372,1.0813511274066386e-15,1.0,1.0813511274066374e-15
373,1.0709901093326058e-15,1.0,1.0709901093326046e-15
374,1.0631199179408121e-15,1.0,1.063119917940811e-15
375,1.0526702376606481e-15,1.0,1.052670237660647e-15
376,1.0503999996537223e-15,1.0,1.050399999653721e-15
377,1.0250933460230028e-15,1.0,1.0250933460230016e-15
378,1.013392000191613e-15,1.0,1.0133920001916119e-15
379,9.954183909499362e-16,1.0,9.954183909499355e-16
380,9.843898295160441e-16,1.0,9.843898295160433e-16
381,9.762446227217985e-16,1.0,9.762446227217977e-16
382,9.719732581459234e-16,1.0,9.719732581459226e-16
383,9.567776644506228e-16,1.0,9.56777664450622e-16
384,9.544486965959508e-16,1.0,9.5444869659595e-16
385,9.391517540512048e-16,1.0,9.39151754051204e-16
386,9.269424733163773e-16,1.0,9.269424733163766e-16
387,9.108598658629614e-16,1.0,9.108598658629606e-16
388,9.075119021944957e-16,1.0,9.07511902194495e-16
389,8.954583242582233e-16,1.0,8.954583242582225e-16
390,8.946659160300127e-16,1.0,8.946659160300119e-16
391,8.881776858904526e-16,1.0,8.881776858904518e-16
392,8.811245403119278e-16,1.0,8.81124540311927e-16
393,8.775777216059312e-16,1.0,8.775777216059304e-16
394,8.757171897394754e-16,1.0,8.757171897394746e-16
395,8.560429143368254e-16,1.0,8.560429143368246e-16
396,8.44051427470867e-16,1.0,8.440514274708662e-16
397,8.422776420239707e-16,1.0,8.4227764202397e-16
398,8.219713425870065e-16,1.0,8.219713425870058e-16
399,8.090287310620491e-16,1.0,8.090287310620485e-16
400,8.056518010973575e-16,1.0,8.056518010973569e-16
401,8.028152008659724e-16,1.0,8.028152008659717e-16
402,7.856339000498629e-16,1.0,7.856339000498622e-16
403,7.6267959161654e-16,1.0,7.626795916165395e-16
404,7.622086070273944e-16,1.0,7.622086070273939e-16
405,7.563600431181299e-16,1.0,7.563600431181294e-16
406,7.558613755362761e-16,1.0,7.558613755362756e-16
407,7.371123803989667e-16,1.0,7.371123803989662e-16
408,7.080311752528111e-16,1.0,7.080311752528106e-16
409,7.043257514221031e-16,1.0,7.043257514221027e-16
410,7.037051710170795e-16,1.0,7.03705171017079e-16
411,6.909489402272132e-16,1.0,6.909489402272127e-16
412,6.840934722705943e-16,1.0,6.840934722705938e-16
413,6.835245993333265e-16,1.0,6.83524599333326e-16
414,6.68141292504857e-16,1.0,6.681412925048565e-16
415,6.344463804397759e-16,1.0,6.344463804397755e-16
416,6.273162356213376e-16,1.0,6.273162356213372e-16
417,6.097859164698508e-16,1.0,6.097859164698504e-16
418,6.090682024395337e-16,1.0,6.090682024395333e-16
419,6.020994791107748e-16,1.0,6.020994791107744e-16
420,5.988179597117973e-16,1.0,5.988179597117969e-16
421,5.759624614355315e-16,1.0,5.759624614355311e-16
422,5.579930247643231e-16,1.0,5.579930247643227e-16
423,5.483370140669598e-16,1.0,5.483370140669596e-16
424,5.457014395158254e-16,1.0,5.457014395158252e-16
425,5.429212648789935e-16,1.0,5.429212648789933e-16
426,5.401487678858898e-16,1.0,5.401487678858896e-16
427,5.309246427501839e-16,1.0,5.309246427501837e-16
428,5.147496822078795e-16,1.0,5.147496822078793e-16
429,5.096850721450498e-16,1.0,5.096850721450496e-16
430,4.956935080246087e-16,1.0,4.956935080246085e-16
431,4.9494922358552e-16,1.0,4.949492235855198e-16
432,4.893153444004842e-16,1.0,4.89315344400484e-16
433,4.794916838053005e-16,1.0,4.794916838053003e-16
434,4.733885175649371e-16,1.0,4.733885175649369e-16
435,4.611831042038025e-16,1.0,4.611831042038023e-16
